ClientID,CompanyName,Industry,Country,ContractValue,ContractType,DurationMonths,ContractStartDate
1,Jackson Ltd,Manufacturing,Swaziland,336510,SaaS,20,2025-02-18
2,Gutierrez LLC,Healthcare,Philippines,127982,SaaS,14,2022-05-10
3,Young-Evans,Manufacturing,Benin,244749,Custom Development,22,2023-12-09
4,Rodriguez-Rowe,Manufacturing,Switzerland,64569,SaaS,9,2023-10-29
5,Bush LLC,Retail,Cuba,431415,Enterprise,24,2024-12-13
6,"Chan, Gray and Wagner",Manufacturing,Belgium,449141,SaaS,17,2022-12-30
7,Curtis PLC,Healthcare,Solomon Islands,438230,SaaS,8,2024-07-27
8,Casey LLC,Finance,Holy See (Vatican City State),151936,Consulting,30,2023-12-22
9,Martin-Rivera,Technology,Algeria,127109,Custom Development,9,2022-10-15
10,Ross-Powell,Manufacturing,Haiti,11634,Enterprise,35,2023-08-10
11,Dean Ltd,Technology,Sweden,268037,Enterprise,6,2022-08-11
12,Holt Group,Retail,Reunion,65109,SaaS,28,2022-06-11
13,Gonzales Group,Retail,Panama,245411,Consulting,19,2022-07-08
14,"Allen, Pineda and Jones",Healthcare,Brazil,109827,SaaS,33,2024-06-13
15,"Good, Miller and Murray",Retail,Hong Kong,99909,Enterprise,24,2024-09-06
16,Simon and Sons,Technology,Japan,208986,Enterprise,35,2022-06-06
17,"Ward, George and Le",Retail,Somalia,345847,Consulting,24,2022-06-08
18,Hamilton PLC,Finance,Serbia,125197,Enterprise,32,2024-06-30
19,Smith and Sons,Healthcare,Moldova,392507,SaaS,30,2023-01-18
20,"Williams, Jefferson and Weaver",Healthcare,Lebanon,28387,Custom Development,24,2024-01-18
21,"Martin, Martin and Buckley",Technology,Mozambique,346790,SaaS,10,2024-09-18
22,Walker-Orozco,Technology,Dominican Republic,247247,Enterprise,8,2024-05-30
23,Wright PLC,Finance,New Caledonia,405683,SaaS,11,2023-10-22
24,Lee-Wong,Manufacturing,Seychelles,254627,Custom Development,21,2024-05-20
25,Patton Inc,Finance,Papua New Guinea,342995,Consulting,21,2022-11-06
26,Smith-Pennington,Retail,Lithuania,222023,Custom Development,18,2024-05-17
27,Williams LLC,Technology,Swaziland,260946,SaaS,31,2023-09-07
28,Wolfe-Ayers,Retail,Jordan,315562,Consulting,31,2024-03-06
29,Roberson-Smith,Finance,Micronesia,52972,Consulting,29,2023-05-30
30,Page Ltd,Manufacturing,Uruguay,22643,Consulting,14,2022-10-06
31,Williams LLC,Retail,Taiwan,324100,SaaS,22,2024-10-29
32,Cross Group,Manufacturing,Cyprus,230084,Consulting,29,2024-10-07
33,Smith PLC,Manufacturing,Saint Vincent and the Grenadines,270553,Consulting,8,2024-09-27
34,Hunter-Sosa,Manufacturing,Benin,359098,Enterprise,19,2022-12-25
35,Hudson-Carson,Healthcare,Tanzania,192490,Custom Development,33,2025-01-13
36,Lewis LLC,Retail,Belgium,324438,Consulting,16,2023-08-18
37,Hamilton-Neal,Finance,Syrian Arab Republic,21919,Enterprise,12,2022-11-09
38,Russell-Foster,Finance,Switzerland,291637,Custom Development,36,2023-02-19
39,Thomas-Thomas,Retail,Kiribati,347032,Custom Development,26,2022-06-04
40,Evans Inc,Manufacturing,Colombia,419864,Custom Development,12,2024-07-30
41,Kirby-Smith,Retail,Slovenia,186349,Enterprise,13,2024-02-18
42,Mcguire LLC,Manufacturing,Spain,158624,Consulting,9,2024-12-27
43,"Nixon, Williamson and Mclaughlin",Retail,Marshall Islands,383993,Consulting,18,2022-11-15
44,Miranda Group,Finance,United Arab Emirates,473774,Custom Development,6,2024-03-26
45,"Meyer, Young and Underwood",Finance,Albania,179578,Enterprise,30,2023-03-05
46,"Hamilton, Camacho and Murillo",Manufacturing,Sierra Leone,205464,Enterprise,15,2024-10-04
47,Deleon-Perkins,Healthcare,Tuvalu,182861,Consulting,15,2023-04-15
48,Watson-Schwartz,Retail,Heard Island and McDonald Islands,262419,SaaS,17,2024-01-20
49,Owens Inc,Manufacturing,Guinea,154493,SaaS,13,2023-11-15
50,Johnson-Robertson,Finance,Brunei Darussalam,270185,Custom Development,17,2024-08-26
51,"Sanders, Johnson and Palmer",Manufacturing,Nigeria,123254,Custom Development,10,2023-10-10
52,Bradley-Nelson,Manufacturing,Seychelles,69604,SaaS,32,2025-01-18
53,Hernandez-Thomas,Manufacturing,Israel,131471,Enterprise,27,2024-07-06
54,"Hart, Juarez and Garcia",Finance,Slovenia,7978,Enterprise,27,2023-11-24
55,Mccann Ltd,Manufacturing,Slovenia,372569,Enterprise,30,2025-02-12
56,"Thomas, Brooks and Santiago",Manufacturing,Burundi,70010,Consulting,12,2024-07-19
