Month,Revenue,Costs,Profit,GrowthRate,ProfitMargin,Year,Month_Num
2008-01-01,3226027,1639668,1586359,0.0,49.17376698955093,2008,0
2008-02-01,512437,4007222,-3494785,-84.11553902059717,-681.9931035424842,2008,1
2008-03-01,816087,3753857,-2937770,59.25606464794697,-359.9824528512279,2008,2
2008-04-01,2882628,1213075,1669553,253.22557521440729,57.91774033971778,2008,3
2008-05-01,3361419,2591216,770203,16.6095313026863,22.91303166906595,2008,4
2008-06-01,651439,1183425,-531986,-80.62011906281245,-81.66321021615224,2008,5
2008-07-01,4323836,1849747,2474089,563.7361287856576,57.21976966748971,2008,6
2008-08-01,1544249,2625530,-1081281,-64.28520878220174,-70.01986078669955,2008,7
2008-09-01,2273686,2217162,56524,47.23571133929827,2.4860073026794374,2008,8
2008-10-01,1730258,4336928,-2606670,-23.900749707743284,-150.65209928230357,2008,9
2008-11-01,2714299,2820511,-106212,56.87250109521238,-3.9130545308383486,2008,10
2008-12-01,2397320,4160693,-1763373,-11.678116522903338,-73.55601254734452,2008,11
2009-01-01,1127835,3983891,-2856056,-52.95434068042648,-253.23349603443765,2009,12
2009-02-01,1488169,1811481,-323312,31.94917696294228,-21.725489510935923,2009,13
2009-03-01,505495,1784414,-1278919,-66.03241970502006,-253.00329380112566,2009,14
2009-04-01,3859812,1225993,2633819,663.570757376433,68.23697630869067,2009,15
2009-05-01,651770,4218247,-3566477,-83.11394440972772,-547.1987050646701,2009,16
2009-06-01,4627376,409461,4217915,609.9706951838839,91.15133501146222,2009,17
2009-07-01,3843653,4313909,-470256,-16.93666129573218,-12.23461118888724,2009,18
2009-08-01,3437556,2049500,1388056,-10.5653918290751,40.37915309597865,2009,19
2009-09-01,4267896,4307502,-39606,24.154951948419168,-0.9279982455055137,2009,20
2009-10-01,3749921,1088595,2661326,-12.136542221272496,70.97018843863644,2009,21
2009-11-01,4142022,1291200,2850822,10.456246944935632,68.82681936503477,2009,22
2009-12-01,3515475,1083682,2431793,-15.126597589293343,69.17395231085415,2009,23
2010-01-01,2345979,2050434,295545,-33.2670833955582,12.59793885623017,2010,24
2010-02-01,639266,3479106,-2839840,-72.75056596840808,-444.2344814208796,2010,25
2010-03-01,1868303,3778880,-1910577,192.2575266008203,-102.26269507676218,2010,26
2010-04-01,1516424,3027559,-1511135,-18.83415056337222,-99.65121892030197,2010,27
2010-05-01,568447,1674502,-1106055,-62.51398025881944,-194.57486801759882,2010,28
2010-06-01,4960938,917725,4043213,772.7177731609104,81.5009782424211,2010,29
2010-07-01,3102710,555074,2547636,-37.45719055549576,82.11002639627938,2010,30
2010-08-01,2025722,3718052,-1692330,-34.71120407643641,-83.54206549566031,2010,31
2010-09-01,4337449,3786019,551430,114.11866978785837,12.713233054728711,2010,32
2010-10-01,3727544,4104531,-376987,-14.06137570724174,-10.113549296802399,2010,33
2010-11-01,2300895,2695284,-394389,-38.273163240997285,-17.140677866656237,2010,34
2010-12-01,3400641,2564753,835888,47.7964444270599,24.580307065638507,2010,35
2011-01-01,1618003,2484825,-866822,-52.420646578101014,-53.57357186605958,2011,36
2011-02-01,1664666,3902631,-2237965,2.883987236117602,-134.43928091280773,2011,37
2011-03-01,2118072,1478010,640062,27.23705536125565,30.219086036735295,2011,38
2011-04-01,3491672,1198190,2293482,64.85143092397236,65.68434835803592,2011,39
2011-05-01,3780947,704123,3076824,8.284712882538802,81.37707299255979,2011,40
2011-06-01,2583489,1019061,1564428,-31.670848599570423,60.554854307488824,2011,41
2011-07-01,1079917,3612185,-2532268,-58.19928012079788,-234.48728004096614,2011,42
2011-08-01,3716366,921339,2795027,244.1344103296827,75.20860431938081,2011,43
2011-09-01,3372807,2083763,1289044,-9.244487760355147,38.21872997773072,2011,44
2011-10-01,3253329,1720760,1532569,-3.5423906556171114,47.10771643445836,2011,45
2011-11-01,4547485,3261129,1286356,39.77943823080912,28.287196109497888,2011,46
2011-12-01,532582,4061353,-3528771,-88.28842755940921,-662.5779692141303,2011,47
2012-01-01,4612385,2544875,2067510,766.0422244837415,44.825182633279745,2012,48
2012-02-01,2082321,445967,1636354,-54.85370366957658,78.58317713743462,2012,49
2012-03-01,1852274,603937,1248337,-11.047624261581191,67.39483467348784,2012,50
2012-04-01,3662149,1331592,2330557,97.71097580595529,63.63905455512596,2012,51
2012-05-01,603533,2550989,-1947456,-83.51970386786556,-322.67597629292845,2012,52
2012-06-01,4597094,3278012,1319082,661.6972062836663,28.693822662751728,2012,53
2012-07-01,664365,1296088,-631723,-85.5481528113195,-95.08673695935215,2012,54
2012-08-01,1334648,1847325,-512677,100.89077540207568,-38.41289988071761,2012,55
2012-09-01,3296133,2472067,824066,146.96646606446043,25.000993588547548,2012,56
2012-10-01,2577428,1239200,1338228,-21.80449029210897,51.92106239243153,2012,57
2012-11-01,1717604,4097163,-2379559,-33.35976795472075,-138.5394421531389,2012,58
2012-12-01,1332311,892715,439596,-22.43200411736349,32.9949989154184,2012,59
2013-01-01,947096,1771930,-824834,-28.913294268380284,-87.09085457018084,2013,60
2013-02-01,4049708,4409749,-360041,327.59213427149945,-8.890542231686828,2013,61
2013-03-01,1329369,2293402,-964033,-67.17370733889949,-72.51808940933631,2013,62
2013-04-01,612275,2078765,-1466490,-53.94243434291006,-239.51492384957737,2013,63
2013-05-01,3232803,414066,2818737,427.9985300722714,87.19173423187246,2013,64
2013-06-01,4212193,4238776,-26583,30.295381438336943,-0.6310964383635793,2013,65
2013-07-01,3664584,3116852,547732,-13.00056763780767,14.946635143306853,2013,66
2013-08-01,2541278,657003,1884275,-30.653029102348317,74.14674821093953,2013,67
2013-09-01,3447710,1476953,1970757,35.66835269498261,57.16133317477398,2013,68
2013-10-01,4788992,2674197,2114795,38.903562074536424,44.15950162372374,2013,69
2013-11-01,1223484,4051654,-2828170,-74.45216028759287,-231.15708909965315,2013,70
2013-12-01,2756384,1932052,824332,125.2897463309696,29.90628301426797,2013,71
2014-01-01,3876317,1706551,2169766,40.6305144711332,55.97493703430344,2014,72
2014-02-01,605442,4481872,-3876430,-84.38099876764464,-640.2644679424288,2014,73
2014-03-01,2297673,1782345,515328,279.50340412458996,22.42825676238525,2014,74
2014-04-01,3927868,1688079,2239789,70.9498261937186,57.023021140221616,2014,75
2014-05-01,3239005,1168843,2070162,-17.53783477448835,63.913516650946825,2014,76
2014-06-01,3331772,3009856,321916,2.8640585611939384,9.662005683462134,2014,77
2014-07-01,1898071,4150464,-2252393,-43.0311858074322,-118.66747871918383,2014,78
2014-08-01,3756375,3317162,439213,97.90487289463884,11.692469468570097,2014,79
2014-09-01,1702146,4267711,-2565565,-54.68647299590697,-150.7253196846804,2014,80
2014-10-01,3772562,2933899,838663,121.63562937609348,22.23059554753507,2014,81
2014-11-01,1343656,1276777,66879,-64.38346142488844,4.977390046261841,2014,82
2014-12-01,972500,2687223,-1714723,-27.622843942199495,-176.32113110539848,2014,83
2015-01-01,1929004,2417422,-488418,98.35516709511568,-25.319698663144298,2015,84
2015-02-01,3116412,3097200,19212,61.55549703370238,0.6164781806770093,2015,85
2015-03-01,3270154,1101593,2168561,4.933301501855336,66.31372712110806,2015,86
2015-04-01,670308,2858699,-2188391,-79.50224974114369,-326.47544114049066,2015,87
2015-05-01,4907922,3928373,979549,632.1890832274119,19.958528273269216,2015,88
2015-06-01,4790102,2320232,2469870,-2.4006086486297096,51.56195003780712,2015,89
2015-07-01,4843586,3513219,1330367,1.1165524241446123,27.466571255264178,2015,90
2015-08-01,833852,2055877,-1222025,-82.78440808112006,-146.55178616828886,2015,91
2015-09-01,2312304,1236915,1075389,177.3038860613154,46.507249911776306,2015,92
2015-10-01,4631732,3632180,999552,100.30809097765696,21.58052322543705,2015,93
2015-11-01,2849708,1737822,1111886,-38.47424678284494,39.01754144635169,2015,94
2015-12-01,2811192,3333474,-522282,-1.3515770738615984,-18.578666985392672,2015,95
2016-01-01,4787009,2495427,2291582,70.28395783710255,47.87085213334673,2016,96
2016-02-01,3865372,2435221,1430151,-19.252877945289015,36.99905209640883,2016,97
2016-03-01,3298980,2084997,1213983,-14.652975185829463,36.79873779168106,2016,98
2016-04-01,875113,392838,482275,-73.47322505744201,55.110025790955,2016,99
2016-05-01,1949374,3945566,-1996192,122.75683254619688,-102.4016940823054,2016,100
2016-06-01,1427364,753763,673601,-26.778340123547352,47.191956641753606,2016,101
2016-07-01,3666841,2730150,936691,156.89599849793044,25.544903637763404,2016,102
2016-08-01,1124335,2874693,-1750358,-69.33777603119415,-155.67940160183576,2016,103
2016-09-01,3262687,3744931,-482244,190.1881556653489,-14.780578094067865,2016,104
2016-10-01,3210225,537649,2672576,-1.607938487510452,83.25198389520983,2016,105
2016-11-01,1790721,3854072,-2063351,-44.218209004041775,-115.22459389262761,2016,106
2016-12-01,2517613,4039105,-1521492,40.59214137769089,-60.433911010151284,2016,107
2017-01-01,4273319,3252809,1020510,69.73692938509612,23.880969335544574,2017,108
2017-02-01,2576563,3308097,-731534,-39.70581180576502,-28.39185379903383,2017,109
2017-03-01,4515703,1905555,2610148,75.26072523745782,57.80158703971453,2017,110
2017-04-01,1614398,4250925,-2636527,-64.24924314110118,-163.31332174593874,2017,111
2017-05-01,547587,1444389,-896802,-66.08104073468873,-163.77342778407814,2017,112
2017-06-01,3203777,711361,2492416,485.0717785484315,77.79617620077802,2017,113
2017-07-01,4899603,3406765,1492838,52.93208609712848,30.46855020702698,2017,114
2017-08-01,2511865,2826396,-314531,-48.733295330254315,-12.521811482703091,2017,115
2017-09-01,2108745,1661107,447638,-16.048633186895,21.227697042553746,2017,116
2017-10-01,3395126,3523335,-128209,61.00220747411376,-3.7762663300272212,2017,117
2017-11-01,4069158,4125178,-56020,19.85293034779858,-1.3766975870683813,2017,118
2017-12-01,4821185,2721949,2099236,18.481145239383668,43.54190930238106,2017,119
2018-01-01,4934448,707125,4227323,2.34927720052227,85.66962302571636,2018,120
2018-02-01,4052525,3527595,524930,-17.872779285545214,12.953158833073209,2018,121
2018-03-01,1201145,720404,480741,-70.36057766454248,40.02356085235338,2018,122
2018-04-01,4653193,710459,3942734,287.39644256105635,84.7317959947073,2018,123
2018-05-01,798656,3668753,-2870097,-82.83638783089376,-359.36585964420226,2018,124
2018-06-01,2911073,2607917,303156,264.4964790848626,10.413892059731927,2018,125
2018-07-01,4721736,954289,3767447,62.19916161497841,79.78944608508397,2018,126
2018-08-01,3066957,998313,2068644,-35.04598732330651,67.44939691035773,2018,127
2018-09-01,4440579,3903687,536892,44.787781504598854,12.090585484460473,2018,128
